time pos speed
2023-08-04 23:59:31.040362 185.04027868852458 0
2023-08-04 23:59:31.087798 185.04098360655738 -1
2023-08-04 23:59:31.218505 185.04168852459014 -1
2023-08-04 23:59:31.537701 187.47788524590163 -735
2023-08-04 23:59:31.736104 191.24849180327868 -747
2023-08-04 23:59:31.894155 196.3591475409836 -749
2023-08-04 23:59:32.063864 200.54565573770492 -740
2023-08-04 23:59:32.226069 205.10859016393442 -751
2023-08-04 23:59:32.360598 209.36418032786884 -764
2023-08-04 23:59:32.534820 213.32934426229508 -748
2023-08-04 23:59:32.680667 217.53277049180326 -709
2023-08-04 23:59:32.877190 221.3146557377049 -740
2023-08-04 23:59:33.036125 226.48170491803276 -769
2023-08-04 23:59:33.212958 230.70134426229507 -748
2023-08-04 23:59:33.364850 235.38340983606557 -757
2023-08-04 23:59:33.500936 239.40849180327868 -761
2023-08-04 23:59:33.677486 243.32290163934425 -733
2023-08-04 23:59:33.825560 247.95632786885244 -769
2023-08-04 23:59:34.021241 251.52321311475407 -775
2023-08-04 23:59:34.186491 256.71211475409837 -776
2023-08-04 23:59:34.321782 261.06004918032784 -748
2023-08-04 23:59:34.472594 264.61847540983604 -750
2023-08-04 23:59:34.614428 268.7062950819672 -753
2023-08-04 23:59:34.812409 272.3493114754098 -752
2023-08-04 23:59:34.986006 277.8638852459016 -765
2023-08-04 23:59:35.158053 282.1335737704918 -750
2023-08-04 23:59:35.309947 286.6499836065574 -754
2023-08-04 23:59:35.450543 290.713131147541 -762
2023-08-04 23:59:35.622132 294.67477049180326 -749
2023-08-04 23:59:35.779677 298.8965245901639 -748
2023-08-04 23:59:35.951413 303.0463770491803 -750
2023-08-04 23:59:36.103258 307.5726557377049 -746
2023-08-04 23:59:36.243384 310.1138852459016 35
2023-08-04 23:59:36.407907 310.0349344262295 -2
2023-08-04 23:59:36.634879 307.0214098360656 720
2023-08-04 23:59:36.807927 302.99632786885246 763
2023-08-04 23:59:36.958991 298.84436065573766 758
2023-08-04 23:59:37.095714 294.9151475409836 746
2023-08-04 23:59:37.256279 291.11140983606555 789
2023-08-04 23:59:37.393730 286.86004918032785 757
2023-08-04 23:59:37.596407 283.2776557377049 772
2023-08-04 23:59:37.775504 277.3725573770492 727
2023-08-04 23:59:37.912652 273.2720491803278 760
2023-08-04 23:59:38.071500 269.5113114754098 770
2023-08-04 23:59:38.214250 265.3783770491803 717
2023-08-04 23:59:38.408710 261.6359672131147 752
2023-08-04 23:59:38.552801 256.18977049180324 786
2023-08-04 23:59:38.690695 252.6560163934426 785
2023-08-04 23:59:38.862054 248.85862295081967 713
2023-08-04 23:59:39.024807 244.5614426229508 765
2023-08-04 23:59:39.196048 240.23888524590163 702
2023-08-04 23:59:39.334890 235.6125081967213 801
2023-08-04 23:59:39.475953 232.0265901639344 710
2023-08-04 23:59:39.683790 228.21791803278688 753
2023-08-04 23:59:39.827348 222.5574262295082 728
2023-08-04 23:59:39.960500 219.0363606557377 729
2023-08-04 23:59:40.110563 215.37854098360654 762
2023-08-04 23:59:40.272328 211.51347540983605 736
2023-08-04 23:59:40.405612 207.31568852459014 745
2023-08-04 23:59:40.576451 203.69804918032784 742
2023-08-04 23:59:40.729897 199.01668852459017 793
2023-08-04 23:59:40.924383 195.0797213114754 703
2023-08-04 23:59:41.079177 189.39455737704918 816
2023-08-04 23:59:41.222298 185.80581967213112 681
2023-08-04 23:59:41.428077 181.35496721311475 781
2023-08-04 23:59:41.569011 176.53403278688523 710
2023-08-04 23:59:41.715348 173.1116557377049 781
2023-08-04 23:59:41.887068 169.24659016393443 725
2023-08-04 23:59:42.021913 164.56381967213113 764
2023-08-04 23:59:42.161563 160.9955245901639 782
2023-08-04 23:59:42.317229 157.26932786885246 698
2023-08-04 23:59:42.468067 153.0856393442623 737
2023-08-04 23:59:42.660903 149.27132786885244 747
2023-08-04 23:59:42.792342 144.24596721311474 735
2023-08-04 23:59:42.930762 140.6565245901639 784
2023-08-04 23:59:43.111983 137.0233770491803 742
2023-08-04 23:59:43.280924 132.02198360655737 741
2023-08-04 23:59:43.412408 127.78824590163934 715
2023-08-04 23:59:43.603781 123.91260655737705 756
2023-08-04 23:59:43.771946 119.19952459016393 741
2023-08-04 23:59:43.905812 114.84454098360655 759
2023-08-04 23:59:44.044817 111.11975409836064 695
2023-08-04 23:59:44.211095 107.71922950819672 765
2023-08-04 23:59:44.342353 103.2260819672131 784
2023-08-04 23:59:44.489546 99.29686885245901 698
2023-08-04 23:59:44.661431 95.81034426229508 741
2023-08-04 23:59:44.801142 91.28124590163934 733
2023-08-04 23:59:44.982445 87.11447540983606 761
2023-08-04 23:59:45.137105 82.7905081967213 737
2023-08-04 23:59:45.269092 78.81970491803278 711
2023-08-04 23:59:45.431387 75.3677213114754 768
2023-08-04 23:59:45.582702 70.61445901639344 732
2023-08-04 23:59:45.716357 66.94606557377048 733
2023-08-04 23:59:45.851229 63.34886885245901 761
2023-08-04 23:59:46.008231 59.93565573770491 395
2023-08-04 23:59:46.138097 60.04491803278688 -3
2023-08-04 23:59:46.384491 63.73445901639344 -780
2023-08-04 23:59:46.521957 67.95691803278689 -736
2023-08-04 23:59:46.749139 71.66337704918033 -750
2023-08-04 23:59:46.934074 77.86242622950819 -770
2023-08-04 23:59:47.066939 82.49867213114753 -730
2023-08-04 23:59:47.244100 86.96996721311474 -747
2023-08-04 23:59:47.407622 90.81740983606556 -737
2023-08-04 23:59:47.544252 95.00462295081967 -767
2023-08-04 23:59:47.706579 99.11852459016393 -747
2023-08-04 23:59:47.869378 102.88137704918032 -733
2023-08-04 23:59:48.007738 107.20745901639343 -753
2023-08-04 23:59:48.196953 111.40031147540982 -734
2023-08-04 23:59:48.357735 116.2177213114754 -715
2023-08-04 23:59:48.573214 120.05106557377049 -784
2023-08-04 23:59:48.742522 125.69252459016393 -752
2023-08-04 23:59:48.877771 130.23713114754096 -793
2023-08-04 23:59:49.077386 134.55263934426227 -719
2023-08-04 23:59:49.254385 139.26995081967212 -787
2023-08-04 23:59:49.390672 143.72432786885244 -741
2023-08-04 23:59:49.548204 147.96440983606556 -785
2023-08-04 23:59:49.719614 151.58345901639342 -742
2023-08-04 23:59:49.853140 155.99624590163933 -735
2023-08-04 23:59:50.051179 160.36532786885246 -747
2023-08-04 23:59:50.193725 164.8612950819672 -762
2023-08-04 23:59:50.327487 168.52968852459014 -753
