time pos speed
2023-09-26 17:16:06.063512 185.04098360655738 0
2023-09-26 17:16:06.098009 185.04098360655738 0
2023-09-26 17:16:06.271567 185.04098360655738 0
2023-09-26 17:16:06.410126 185.04027868852458 0
2023-09-26 17:16:06.897175 187.833868852459 -754
2023-09-26 17:16:07.080396 196.17939344262294 -723
2023-09-26 17:16:07.218946 201.05813114754096 -776
2023-09-26 17:16:07.362971 204.68634426229508 -722
2023-09-26 17:16:07.651936 208.49924590163934 -764
2023-09-26 17:16:07.841912 217.38121311475408 -752
2023-09-26 17:16:08.022714 221.17931147540983 -777
2023-09-26 17:16:08.158954 225.9368032786885 -780
2023-09-26 17:16:08.452532 229.64537704918033 -730
2023-09-26 17:16:08.622156 237.72232786885243 -757
2023-09-26 17:16:08.815729 241.66 -751
2023-09-26 17:16:08.955882 246.8355081967213 -742
2023-09-26 17:16:09.100892 250.6258524590164 -741
2023-09-26 17:16:09.389322 256.19611475409835 -728
2023-09-26 17:16:09.527443 261.96304918032786 -769
2023-09-26 17:16:09.705556 265.58632786885244 -750
2023-09-26 17:16:09.845107 270.3684918032787 -756
2023-09-26 17:16:10.149989 274.0037540983606 -709
2023-09-26 17:16:10.325121 282.64675409836065 -751
2023-09-26 17:16:10.516077 286.7726393442623 -745
2023-09-26 17:16:10.661151 291.64855737704914 -767
2023-09-26 17:16:10.807543 295.5115081967213 -762
2023-09-26 17:16:11.061275 301.16142622950815 -723
2023-09-26 17:16:11.260428 306.04932786885246 -754
2023-09-26 17:16:11.424465 310.1040163934426 15
2023-09-26 17:16:11.518791 310.03140983606556 399
2023-09-26 17:16:11.753158 306.08316393442624 754
2023-09-26 17:16:11.948538 299.73326229508194 725
2023-09-26 17:16:12.136213 294.79037704918034 741
2023-09-26 17:16:12.284708 289.5605901639344 761
2023-09-26 17:16:12.425458 285.8033770491803 756
2023-09-26 17:16:12.561767 282.13498360655734 790
2023-09-26 17:16:12.808236 277.3591639344262 767
2023-09-26 17:16:12.948307 272.0391475409836 731
2023-09-26 17:16:13.136630 268.3989508196721 750
2023-09-26 17:16:13.277496 263.4088360655738 734
2023-09-26 17:16:13.419808 259.6544426229508 736
2023-09-26 17:16:13.705765 255.5165737704918 764
2023-09-26 17:16:13.843697 248.3672950819672 732
2023-09-26 17:16:14.034317 244.6904426229508 726
2023-09-26 17:16:14.171466 239.73416393442622 730
2023-09-26 17:16:14.320313 235.89588524590164 764
2023-09-26 17:16:14.562266 231.73404918032784 768
2023-09-26 17:16:14.757377 225.75493442622948 717
2023-09-26 17:16:14.896906 220.35667213114752 753
2023-09-26 17:16:15.035291 216.93781967213113 739
2023-09-26 17:16:15.304789 213.19259016393443 790
2023-09-26 17:16:15.459118 205.49277049180327 754
2023-09-26 17:16:15.644823 201.9970819672131 754
2023-09-26 17:16:15.794098 197.00626229508197 741
2023-09-26 17:16:15.935466 193.1820819672131 754
2023-09-26 17:16:16.230182 189.41781967213115 756
2023-09-26 17:16:16.422695 181.66654098360655 760
2023-09-26 17:16:16.561737 176.41701639344262 760
2023-09-26 17:16:16.705692 172.89454098360653 789
2023-09-26 17:16:16.845434 169.08657377049178 752
